Unnamed: 0,path,label,image_data
0,Surprise/1bd930d6a1c717c11be33db74823f661cb53f86cbba1d3d1f336cdf9~12fffff.jpg,Surprise,[241 235 235 ...  37  21  14]
1,Surprise/cropped_emotions.100096~12fffff.png,Surprise,[ 91  63  41 ... 128  94  66]
2,Surprise/0df0e470e33093f5b72a8197fa209d684032cc17f68194e605a26897~12fffff.jpg,Surprise,[197  48 106 ...   2   1   0]
3,Surprise/cropped_emotions.260779~12fffff.png,Surprise,[200 194 175 ...  46  38  34]
4,Surprise/cropped_emotions.263616~12fffff.png,Surprise,[ 0  0  0 ... 45 48 81]
5,Surprise/cropped_emotions.263141~12fffff.png,Surprise,[255 255 253 ... 240 235 239]
6,Surprise/1c16775dfd679b09c10f4e94f1ea187a921f5e4126c8728af87387e9~12fffff.jpg,Surprise,[74 73 81 ... 80 70 62]
7,Surprise/0a15c44d8be6cc71cd9d8ab595266e5147459f424e30d7fa1d1f777d~12fffff.jpg,Surprise,[ 57  90 139 ... 175 137 118]
8,Surprise/cropped_emotions.100252~12fffff.png,Surprise,[11  7  6 ... 37 18 14]
9,Surprise/cropped_emotions.263517~12fffff.png,Surprise,[80 67 51 ... 59 56 39]
10,Surprise/cropped_emotions.265653~12fffff.png,Surprise,[33 82 60 ... 11 21 90]
11,Surprise/cropped_emotions.414987~12fffff.png,Surprise,[5 1 2 ... 4 0 0]
12,Surprise/cropped_emotions.267870~12fffff.png,Surprise,[  0   0   0 ... 191 156 137]
13,Surprise/cropped_emotions.265487~12fffff.png,Surprise,[235 239 225 ... 171 164 171]
14,Surprise/cropped_emotions.267672~12fffff.png,Surprise,[252 241 209 ... 236 204 185]
15,Surprise/cropped_emotions.268248~12fffff.png,Surprise,[ 0  0  0 ... 23 23 25]
16,Surprise/cropped_emotions.262379~12fffff.png,Surprise,[  0   0   0 ... 175 172 119]
17,Surprise/cropped_emotions.260287~12fffff.png,Surprise,[252 252 252 ...   7   5   6]
18,Surprise/cropped_emotions.262781~12fffff.png,Surprise,[20 21 41 ... 74 63 77]
19,Surprise/cropped_emotions.261806~12fffff.png,Surprise,[107  32  48 ...   2   2  19]
20,Surprise/0dcc9de28d2c067ba2d4672072b148e03d03965bcc944bbe592f350b~12fffff.jpg,Surprise,[83 81 92 ... 67 75 64]
21,Surprise/cropped_emotions.265858~12fffff.png,Surprise,[33 33 43 ... 54 40 34]
22,Surprise/cropped_emotions.260151~12fffff.png,Surprise,[205 149  97 ...  36  17  19]
23,Surprise/cropped_emotions.414959~12fffff.png,Surprise,[185 233 247 ... 129  74  97]
24,Surprise/cropped_emotions.268538~12fffff.png,Surprise,[167 188 179 ... 204 145 135]
25,Surprise/cropped_emotions.262774~12fffff.png,Surprise,[ 0  0  0 ... 49 23 37]
26,Surprise/00f955a606e601f12232275b9023161656ec362eb06a78e7a33e7e8a~12fffff.jpg,Surprise,[171 150  97 ...  25  26  39]
27,Surprise/cropped_emotions.261813~12fffff.png,Surprise,[255 255 255 ... 112  89  85]
28,Surprise/cropped_emotions.261455~12fffff.png,Surprise,[173 204 168 ... 182 210 135]
29,Surprise/cropped_emotions.415010~12fffff.png,Surprise,[76 68 47 ... 74 76 52]
30,Surprise/cropped_emotions.262920~12fffff.png,Surprise,[235  44  45 ...  15  22  39]
31,Surprise/cropped_emotions.261216~12fffff.png,Surprise,[ 42  31  17 ... 129 171 159]
32,Surprise/cropped_emotions.267645~12fffff.png,Surprise,[225 206 173 ... 233 206 192]
33,Surprise/cropped_emotions.100016~12fffff.png,Surprise,[0 0 0 ... 0 0 0]
34,Surprise/cropped_emotions.260165~12fffff.png,Surprise,[149 188 193 ...  73 127 189]
35,Surprise/cropped_emotions.414934~12fffff.png,Surprise,[121 121 121 ...  93  93  93]
36,Surprise/cropped_emotions.267798~12fffff.png,Surprise,[128 176  82 ...  23  33  82]
37,Surprise/cropped_emotions.262793~12fffff.png,Surprise,[ 95  73  46 ... 238 234 209]
38,Surprise/cropped_emotions.265042~12fffff.png,Surprise,[70 52 33 ... 78 59 44]
39,Surprise/cropped_emotions.261042~12fffff.png,Surprise,[ 68  37  52 ...  68  70 120]
40,Surprise/cropped_emotions.100227~12fffff.png,Surprise,[  0   0   0 ... 163 137 114]
41,Surprise/cropped_emotions.267390~12fffff.png,Surprise,[ 45  28  17 ... 205 146 104]
42,Surprise/cropped_emotions.100091~12fffff.png,Surprise,[  0   0   0 ... 240 242 239]
43,Surprise/cropped_emotions.266668~12fffff.png,Surprise,[123 113 115 ...  72  17  22]
44,Surprise/cropped_emotions.100133~12fffff.png,Surprise,[0 0 0 ... 0 0 0]
45,Surprise/cropped_emotions.267217~12fffff.png,Surprise,[243 222 206 ...  66  57  43]
46,Surprise/cropped_emotions.414890~12fffff.png,Surprise,[ 96  93  78 ... 124  89  51]
47,Surprise/cropped_emotions.100011~12fffff.png,Surprise,[  0   0   0 ... 183  17  82]
48,Surprise/cropped_emotions.100076~12fffff.png,Surprise,[0 0 0 ... 0 0 0]
49,Surprise/cropped_emotions.99987~12fffff.png,Surprise,[33 17 28 ... 45 48 65]
50,Surprise/cropped_emotions.260556~12fffff.png,Surprise,[237 230 222 ... 147 104  79]
51,Surprise/cropped_emotions.264999~12fffff.png,Surprise,[255 255 255 ... 173 173 165]
52,Surprise/cropped_emotions.100241~12fffff.png,Surprise,[ 49  24  19 ... 191 171 182]
53,Surprise/cropped_emotions.268377~12fffff.png,Surprise,[  0   0   0 ... 111 144 155]
54,Surprise/cropped_emotions.414837~12fffff.png,Surprise,[77 76 82 ... 49 45 45]
55,Surprise/cropped_emotions.263173~12fffff.png,Surprise,[ 37  41  45 ... 250 248 224]
56,Surprise/cropped_emotions.415002~12fffff.png,Surprise,[ 24  26  23 ... 101  83  58]
57,Surprise/cropped_emotions.268544~12fffff.png,Surprise,[ 13  18  14 ... 207 215 207]
58,Surprise/cropped_emotions.100213~12fffff.png,Surprise,[100  94 106 ...  33  44  50]
59,Surprise/cropped_emotions.265150~12fffff.png,Surprise,[250 227 209 ...   0   0   0]
60,Surprise/cropped_emotions.414960~12fffff.png,Surprise,[207 208 210 ... 232 231 236]
61,Surprise/cropped_emotions.414889~12fffff.png,Surprise,[126  70  69 ...  20  25  29]
62,Surprise/cropped_emotions.260736~12fffff.png,Surprise,[246 244 231 ...  43  45  47]
63,Surprise/cropped_emotions.267553~12fffff.png,Surprise,[ 61  66  69 ... 218 210 196]
64,Surprise/cropped_emotions.414944~12fffff.png,Surprise,[32 36 35 ... 30 34 35]
65,Surprise/cropped_emotions.99999~12fffff.png,Surprise,[121 169 183 ...  57  44  36]
66,Surprise/cropped_emotions.414914~12fffff.png,Surprise,[154 172 196 ...  77  64  42]
67,Surprise/cropped_emotions.260854~12fffff.png,Surprise,[173  22  53 ... 219 201 150]
68,Surprise/cropped_emotions.100026~12fffff.png,Surprise,[85 81 77 ... 75 70 76]
69,Surprise/cropped_emotions.262752~12fffff.png,Surprise,[66 71 67 ... 54 15  6]
70,Surprise/cropped_emotions.267375~12fffff.png,Surprise,[229 166  99 ...  30  68  89]
71,Surprise/cropped_emotions.100070~12fffff.png,Surprise,[0 0 0 ... 0 0 0]
72,Surprise/cropped_emotions.268272~12fffff.png,Surprise,[16  6  5 ...  0  0  0]
73,Surprise/cropped_emotions.260073~12fffff.png,Surprise,[ 0  0  0 ... 20 11 12]
74,Surprise/cropped_emotions.267234~12fffff.png,Surprise,[31 57 94 ... 46 35 39]
75,Surprise/1d71d911e549750f1119eac7e5dab8940e744473e956a40178ac2a59~12fffff.jpg,Surprise,[ 96  93 137 ...  36  22  11]
76,Surprise/cropped_emotions.266437~12fffff.png,Surprise,[131 145 153 ... 111  65  47]
77,Surprise/cropped_emotions.100272~12fffff.png,Surprise,[  0   0   0 ... 255 254 255]
78,Surprise/cropped_emotions.262747~12fffff.png,Surprise,[82 78 67 ...  9 13 24]
79,Surprise/cropped_emotions.414953~12fffff.png,Surprise,[212 216 219 ...  69  56  69]
